uid,mid,rating
0,1,0
0,3,4
0,4,2
0,12,1
0,44,1
0,58,4
0,60,2
0,67,0
0,74,0
0,87,2
1,6,0
1,8,1
1,12,0
1,17,0
1,21,1
1,22,2
1,24,0
1,31,1
1,60,1
1,76,0
2,1,3
2,2,4
2,6,3
2,13,4
2,15,4
2,25,3
2,46,2
2,55,1
2,56,1
2,74,2
3,0,4
3,3,3
3,4,4
3,5,1
3,8,4
3,9,3
3,24,3
3,29,2
3,40,2
3,43,3
4,4,1
4,9,4
4,13,0
4,19,1
4,30,1
4,31,0
4,47,4
4,50,3
4,55,0
4,99,0
5,0,4
5,3,1
5,6,4
5,11,1
5,17,0
5,34,1
5,37,4
5,43,2
5,46,1
5,56,2
6,2,4
6,3,3
6,4,4
6,5,2
6,9,4
6,10,4
6,11,4
6,25,4
6,78,2
6,90,0
7,3,4
7,5,3
7,6,1
7,8,4
7,9,3
7,14,2
7,21,1
7,26,3
7,27,2
7,69,2
8,0,4
8,4,3
8,15,1
8,16,0
8,19,4
8,22,3
8,26,4
8,27,2
8,29,1
8,38,4
9,1,4
9,3,4
9,6,0
9,9,3
9,14,4
9,18,1
9,20,2
9,36,2
9,37,4
9,43,3
10,0,0
10,2,4
10,5,4
10,6,1
10,7,1
10,8,4
10,11,4
10,30,4
10,64,2
10,88,2
11,7,3
11,9,4
11,13,4
11,15,4
11,17,3
11,19,4
11,23,4
11,32,4
11,42,4
11,53,4
12,2,0
12,4,4
12,5,2
12,8,4
12,19,2
12,20,4
12,26,2
12,27,4
12,66,4
12,74,2
13,4,0
13,6,0
13,9,4
13,14,3
13,16,0
13,24,4
13,25,3
13,31,4
13,51,4
13,60,3
14,6,2
14,8,4
14,9,4
14,15,3
14,21,3
14,35,2
14,37,4
14,44,4
14,60,4
14,95,3
15,0,3
15,4,4
15,11,4
15,12,4
15,27,4
15,33,3
15,39,4
15,47,4
15,65,3
15,72,3
16,0,4
16,5,4
16,6,4
16,10,4
16,15,4
16,17,4
16,19,1
16,26,2
16,31,2
16,53,4
17,1,4
17,2,4
17,4,4
17,10,4
17,11,4
17,13,4
17,33,4
17,41,4
17,44,3
17,84,2
18,7,4
18,13,3
18,22,2
18,24,1
18,29,4
18,34,2
18,51,3
18,56,2
18,61,3
18,88,4
19,0,3
19,9,4
19,12,2
19,13,4
19,22,3
19,24,2
19,45,3
19,46,2
19,55,2
19,91,2
20,3,4
20,7,3
20,11,3
20,14,2
20,17,2
20,20,3
20,33,2
20,37,4
20,38,3
20,66,2
21,19,4
21,23,2
21,26,2
21,28,3
21,33,3
21,35,4
21,36,2
21,46,3
21,75,4
21,89,2
22,1,4
22,2,2
22,7,4
22,13,3
22,30,1
22,31,4
22,36,3
22,60,3
22,84,4
22,85,1
23,0,3
23,2,4
23,3,3
23,6,4
23,11,3
23,13,3
23,25,3
23,26,2
23,33,3
23,38,3
24,1,3
24,4,2
24,6,1
24,9,4
24,15,4
24,19,4
24,20,4
24,23,1
24,38,4
24,49,0
25,1,4
25,23,4
25,25,4
25,29,2
25,37,4
25,40,4
25,42,4
25,49,4
25,58,2
25,62,4
26,0,4
26,4,1
26,5,3
26,6,4
26,8,1
26,18,0
26,22,4
26,27,4
26,72,4
26,82,2
27,2,4
27,4,3
27,6,4
27,12,2
27,14,3
27,23,3
27,32,3
27,34,3
27,37,4
27,82,3
28,3,4
28,10,2
28,15,3
28,27,3
28,29,3
28,36,4
28,39,3
28,41,0
28,50,4
